,Disease,Epidemiology,Clinical findings,Transmission,Agent,Incubation period,Diagnostic tests,tokenized,pos_tagged,synsets
86,hepatitis c,hcv infection worldwide prevalence 2 estimated 130 170 million chronic cases globally highest prevalences found africa asia egypt highest hcv prevalence rate 22,majority asymptomatic acute phase approximately 80 develops chronic hcv disease acute disease insidious onset right upper quadrant pain fatigue nausea malaise vomiting progress jaundice dark urine,persontoperson transmission occurs parentally blood blood mother child transmission transmission via sexual contact rare,hepatitis c virus hcv enveloped rna virus hepacavirus belongs theflaviviruses,usually 6 9 weeks range 2 weeks 6 months,serology eia recombinant immunoblot assay riba rtpcr plasma genotyping liver biopsy histology assess disease stage activity,"['hcv', 'infection', 'worldwide', 'prevalence', '2', 'estimated', '130', '170', 'million', 'chronic', 'cases', 'globally', 'highest', 'prevalences', 'found', 'africa', 'asia', 'egypt', 'highest', 'hcv', 'prevalence', 'rate', '22']","[('hcv', 'JJ'), ('infection', 'NN'), ('worldwide', 'NN'), ('prevalence', 'NN'), ('2', 'CD'), ('estimated', 'VBD'), ('130', 'CD'), ('170', 'CD'), ('million', 'CD'), ('chronic', 'JJ'), ('cases', 'NNS'), ('globally', 'RB'), ('highest', 'JJS'), ('prevalences', 'NNS'), ('found', 'VBD'), ('africa', 'RB'), ('asia', 'JJ'), ('egypt', 'NN'), ('highest', 'JJS'), ('hcv', 'JJ'), ('prevalence', 'NN'), ('rate', 'NN'), ('22', 'CD')]","[None, Synset('infection.n.01'), None, Synset('prevalence.n.01'), None, Synset('estimate.v.01'), None, None, None, Synset('chronic.a.01'), Synset('case.n.01'), Synset('globally.r.01'), Synset('high.a.01'), Synset('prevalence.n.01'), Synset('establish.v.01'), None, None, Synset('egypt.n.01'), Synset('high.a.01'), None, Synset('prevalence.n.01'), Synset('rate.n.01'), None]"
87,hepatitis e,hev prevalent areas hot climates poor sanitation outbreaks common heavy rainfall flooding leads fecal contamination drinking water hev genotypes geographic distribution,clinical evident disease common age group 15–44 years following symptoms fatigue fever nausea vomiting abdominal pain jaundice dark urine light stool,fecal–oral route mainly via fecally contaminated water also via food maternofetal transfusion blood products cycle human human occasionally animal human,hepatitis e virus hev nonenveloped singlestranded rna virus genus hepevirus single member hepeviridae family,average 40 days range 2 10 weeks,serology hev igm igg hev rna detection blood stool rtpcr,"['hev', 'prevalent', 'areas', 'hot', 'climates', 'poor', 'sanitation', 'outbreaks', 'common', 'heavy', 'rainfall', 'flooding', 'leads', 'fecal', 'contamination', 'drinking', 'water', 'hev', 'genotypes', 'geographic', 'distribution']","[('hev', 'JJ'), ('prevalent', 'JJ'), ('areas', 'NNS'), ('hot', 'JJ'), ('climates', 'NNS'), ('poor', 'JJ'), ('sanitation', 'NN'), ('outbreaks', 'NNS'), ('common', 'JJ'), ('heavy', 'JJ'), ('rainfall', 'NN'), ('flooding', 'VBG'), ('leads', 'NNS'), ('fecal', 'JJ'), ('contamination', 'NN'), ('drinking', 'NN'), ('water', 'NN'), ('hev', 'NN'), ('genotypes', 'NNS'), ('geographic', 'JJ'), ('distribution', 'NN')]","[None, Synset('prevailing.s.01'), Synset('area.n.01'), Synset('hot.a.01'), Synset('climate.n.01'), Synset('hapless.s.01'), Synset('sanitation.n.01'), Synset('outbreak.n.01'), Synset('common.a.01'), Synset('heavy.a.01'), Synset('rain.n.01'), Synset('deluge.v.01'), Synset('lead.n.01'), Synset('faecal.a.01'), Synset('contamination.n.01'), Synset('drinking.n.01'), Synset('water.n.01'), None, Synset('genotype.n.01'), Synset('geographic.a.01'), Synset('distribution.n.01')]"
88,human immunodeficiency virus,greatest burden hiv continues fall subsaharan africa 68 people living hiv 72 ofall hivrelated deaths 2009 epidemic africa however heterogeneous highprevalence generalized epidemics southern african countries generalized moderate prevalence epidemics,primary hiv infection usually nonspecific illness fever headache myalgia fatigue sore throat generalized lymphadenopathy maculopapular rash may occur,hiv transmitted contact hivinfected body fluids blood semen vaginal secretions predominantly sexually transmitted infection,human immunodeficiency virus hiv,112 weeks less 1 year 15 years,enzyme immunoassay detect anti hiv antibodies confirmation western blot viral load hiv1 p24 antigen may used circumstances,"['greatest', 'burden', 'hiv', 'continues', 'fall', 'subsaharan', 'africa', '68', 'people', 'living', 'hiv', '72', 'ofall', 'hivrelated', 'deaths', '2009', 'epidemic', 'africa', 'however', 'heterogeneous', 'highprevalence', 'generalized', 'epidemics', 'southern', 'african', 'countries', 'generalized', 'moderate', 'prevalence', 'epidemics']","[('greatest', 'JJS'), ('burden', 'NN'), ('hiv', 'NN'), ('continues', 'VBZ'), ('fall', 'NN'), ('subsaharan', 'NN'), ('africa', 'VBZ'), ('68', 'CD'), ('people', 'NNS'), ('living', 'VBG'), ('hiv', 'JJ'), ('72', 'CD'), ('ofall', 'NN'), ('hivrelated', 'VBD'), ('deaths', 'NNS'), ('2009', 'CD'), ('epidemic', 'JJ'), ('africa', 'NN'), ('however', 'RB'), ('heterogeneous', 'JJ'), ('highprevalence', 'NN'), ('generalized', 'VBN'), ('epidemics', 'NNS'), ('southern', 'JJ'), ('african', 'JJ'), ('countries', 'NNS'), ('generalized', 'VBN'), ('moderate', 'JJ'), ('prevalence', 'NN'), ('epidemics', 'NNS')]","[Synset('greatest.s.01'), Synset('burden.n.01'), Synset('hiv.n.01'), Synset('continue.v.01'), Synset('fall.n.01'), None, None, None, Synset('people.n.01'), Synset('populate.v.01'), None, None, None, None, Synset('death.n.01'), None, Synset('epidemic.a.01'), Synset('africa.n.01'), Synset('however.r.01'), Synset('heterogeneous.a.01'), None, Synset('generalize.v.01'), Synset('epidemic.n.01'), Synset('southern.a.01'), Synset('african.a.01'), Synset('state.n.04'), Synset('generalize.v.01'), Synset('moderate.a.01'), Synset('prevalence.n.01'), Synset('epidemic.n.01')]"
89,human tlymphotropic virus 1,approximately 15 20 million people worldwide believed infected japan africa caribbean islands south america areas highest prevalence reasons unknown infections world wide due subtype htlv1a,htlv1infected individual immunologically tends immunosuppression develop opportunistic infections strongyloides stercoralis hyperinfection recurrent skin infections atl,virus transmitted mother child breastmilk also sexual contact contaminated blood products organ transplants shared syringes iv drug use,human tlymphotropic virus 1 htlv1,20–30 years,serological tests crossreact htlv2,"['approximately', '15', '20', 'million', 'people', 'worldwide', 'believed', 'infected', 'japan', 'africa', 'caribbean', 'islands', 'south', 'america', 'areas', 'highest', 'prevalence', 'reasons', 'unknown', 'infections', 'world', 'wide', 'due', 'subtype', 'htlv1a']","[('approximately', 'RB'), ('15', 'CD'), ('20', 'CD'), ('million', 'CD'), ('people', 'NNS'), ('worldwide', 'VBP'), ('believed', 'VBN'), ('infected', 'JJ'), ('japan', 'NN'), ('africa', 'NN'), ('caribbean', 'JJ'), ('islands', 'NNS'), ('south', 'RB'), ('america', 'JJ'), ('areas', 'NNS'), ('highest', 'JJS'), ('prevalence', 'NN'), ('reasons', 'NNS'), ('unknown', 'JJ'), ('infections', 'NNS'), ('world', 'NN'), ('wide', 'JJ'), ('due', 'JJ'), ('subtype', 'NN'), ('htlv1a', 'NN')]","[Synset('approximately.r.01'), None, None, None, Synset('people.n.01'), None, Synset('believe.v.01'), Synset('septic.a.01'), Synset('japan.n.01'), Synset('africa.n.01'), None, Synset('island.n.01'), Synset('south.r.01'), None, Synset('area.n.01'), Synset('high.a.01'), Synset('prevalence.n.01'), Synset('reason.n.01'), Synset('unknown.a.01'), Synset('infection.n.01'), Synset('universe.n.01'), Synset('wide.a.01'), Synset('due.a.01'), None, None]"
90,japanese encephalitis,jev leading cause viral encephalitis asia 35000 50000 cases reported annually believed significant underestimate true disease burden epidemic temperate parts asia linked seasonal occurrence mosquitoes endemic tropical regions asa due yearround mosquito activity range je virus recently expanded torres strait northern australia disease rare western pacific islands,high fever headache chills neck stiffness anorexia nausea vomiting developing aseptic meningitis encephalitis disorientation coma seizures spastic paralysis drowsiness stupor death occurs respiratory complications seizures,mosquito bite,japanese encephalitis virus jev,6–16 days,igm capture elisa serum csf antibodies detected csf 4 days disease onset serum 7 days,"['jev', 'leading', 'cause', 'viral', 'encephalitis', 'asia', '35000', '50000', 'cases', 'reported', 'annually', 'believed', 'significant', 'underestimate', 'true', 'disease', 'burden', 'epidemic', 'temperate', 'parts', 'asia', 'linked', 'seasonal', 'occurrence', 'mosquitoes', 'endemic', 'tropical', 'regions', 'asa', 'due', 'yearround', 'mosquito', 'activity', 'range', 'je', 'virus', 'recently', 'expanded', 'torres', 'strait', 'northern', 'australia', 'disease', 'rare', 'western', 'pacific', 'islands']","[('jev', 'NN'), ('leading', 'VBG'), ('cause', 'NN'), ('viral', 'JJ'), ('encephalitis', 'NN'), ('asia', 'VBD'), ('35000', 'CD'), ('50000', 'CD'), ('cases', 'NNS'), ('reported', 'VBN'), ('annually', 'RB'), ('believed', 'VBN'), ('significant', 'JJ'), ('underestimate', 'JJ'), ('true', 'JJ'), ('disease', 'NN'), ('burden', 'NN'), ('epidemic', 'JJ'), ('temperate', 'NN'), ('parts', 'NNS'), ('asia', 'NN'), ('linked', 'VBD'), ('seasonal', 'JJ'), ('occurrence', 'NN'), ('mosquitoes', 'NNS'), ('endemic', 'JJ'), ('tropical', 'JJ'), ('regions', 'NNS'), ('asa', 'VBP'), ('due', 'JJ'), ('yearround', 'CD'), ('mosquito', 'NN'), ('activity', 'NN'), ('range', 'NN'), ('je', 'NN'), ('virus', 'NN'), ('recently', 'RB'), ('expanded', 'VBD'), ('torres', 'NNS'), ('strait', 'VBP'), ('northern', 'JJ'), ('australia', 'JJ'), ('disease', 'NN'), ('rare', 'JJ'), ('western', 'JJ'), ('pacific', 'NN'), ('islands', 'NNS')]","[None, Synset('lead.v.01'), Synset('cause.n.01'), Synset('viral.a.01'), Synset('encephalitis.n.01'), None, None, None, Synset('case.n.01'), Synset('report.v.01'), Synset('annually.r.01'), Synset('believe.v.01'), Synset('significant.a.01'), None, Synset('true.a.01'), Synset('disease.n.01'), Synset('burden.n.01'), Synset('epidemic.a.01'), None, Synset('parts.n.01'), Synset('asia.n.01'), Synset('associate.v.01'), Synset('seasonal.a.01'), Synset('happening.n.01'), Synset('mosquito.n.01'), Synset('endemic.a.01'), Synset('tropical.s.01'), Synset('region.n.01'), None, Synset('due.a.01'), None, Synset('mosquito.n.01'), Synset('activity.n.01'), Synset('scope.n.01'), None, Synset('virus.n.01'), Synset('recently.r.01'), Synset('expand.v.01'), None, None, Synset('northern.a.01'), None, Synset('disease.n.01'), Synset('rare.s.01'), Synset('western.a.01'), Synset('pacific.n.01'), Synset('island.n.01')]"
91,lassa fever,lfv isolated missionary nurse living lassa nigeria 1969 estimated 200000 300000 symptomaticlassa fever cases west africa year associated mortality 500010000 villages lassas fever located rain forest areas transition zones rainforest savannah,gradual onset malaise fever headache sore throat cough nausea vomiting diarrhea myalgia chest abdominal pain inflammation exudation pharynx conjunctivae common progression multisystem disease occurs 20 infections transient alopecia ataxia eighth cranial nerve deafness may follow deaf,inhalation aerosolized excreta rodent host contact food household items contaminated rodent excret,lassa fever virus lfv,6–21 days usually 7–12 days,igm elisa rtpcr virus isolation blood urine throat washing seroconversion igg positive,"['lfv', 'isolated', 'missionary', 'nurse', 'living', 'lassa', 'nigeria', '1969', 'estimated', '200000', '300000', 'symptomaticlassa', 'fever', 'cases', 'west', 'africa', 'year', 'associated', 'mortality', '500010000', 'villages', 'lassas', 'fever', 'located', 'rain', 'forest', 'areas', 'transition', 'zones', 'rainforest', 'savannah']","[('lfv', 'RB'), ('isolated', 'JJ'), ('missionary', 'JJ'), ('nurse', 'NN'), ('living', 'NN'), ('lassa', 'NN'), ('nigeria', 'JJ'), ('1969', 'CD'), ('estimated', 'VBD'), ('200000', 'CD'), ('300000', 'CD'), ('symptomaticlassa', 'NN'), ('fever', 'NN'), ('cases', 'NNS'), ('west', 'VBP'), ('africa', 'JJ'), ('year', 'NN'), ('associated', 'VBN'), ('mortality', 'NN'), ('500010000', 'CD'), ('villages', 'NNS'), ('lassas', 'VBP'), ('fever', 'RB'), ('located', 'VBN'), ('rain', 'NN'), ('forest', 'JJS'), ('areas', 'NNS'), ('transition', 'NN'), ('zones', 'NNS'), ('rainforest', 'VBP'), ('savannah', 'NN')]","[None, Synset('isolated.s.01'), Synset('missionary.a.01'), Synset('nurse.n.01'), Synset('life.n.02'), Synset('lhasa.n.01'), None, None, Synset('estimate.v.01'), None, None, None, Synset('fever.n.01'), Synset('case.n.01'), None, None, Synset('year.n.01'), Synset('associate.v.01'), Synset('mortality.n.01'), None, Synset('village.n.01'), None, None, Synset('locate.v.01'), Synset('rain.n.01'), None, Synset('area.n.01'), Synset('passage.n.01'), Synset('zone.n.01'), None, Synset('savannah.n.01')]"
92,mayaro fever,mayv enzootic humid tropical rainforests south america travelers imported mayv surinam netherlands brazil france virus detected migratory birds,denguelike acute febrile illness chills headache retroorbital pain myalgia severe arthralgia small joints hands feet sometimes nausea vomiting diarrhea painful lymphadenopathies often maculopapular rash,mosquito bite airborne transmission reported among laboratory personnel,mayaro virus mayv,1 week,igm elisa igg crossreacts alphaviruses confirmation needed neutralization test virus isolation significant rise specific antibody,"['mayv', 'enzootic', 'humid', 'tropical', 'rainforests', 'south', 'america', 'travelers', 'imported', 'mayv', 'surinam', 'netherlands', 'brazil', 'france', 'virus', 'detected', 'migratory', 'birds']","[('mayv', 'NN'), ('enzootic', 'JJ'), ('humid', 'JJ'), ('tropical', 'JJ'), ('rainforests', 'NNS'), ('south', 'VBP'), ('america', 'JJ'), ('travelers', 'NNS'), ('imported', 'VBN'), ('mayv', 'JJ'), ('surinam', 'JJ'), ('netherlands', 'NNS'), ('brazil', 'JJ'), ('france', 'NN'), ('virus', 'NN'), ('detected', 'VBD'), ('migratory', 'NN'), ('birds', 'NNS')]","[None, Synset('enzootic.s.01'), Synset('humid.s.01'), Synset('tropical.s.01'), Synset('rain_forest.n.01'), None, None, Synset('traveler.n.01'), Synset('import.v.01'), None, None, Synset('netherlands.n.01'), None, Synset('france.n.01'), Synset('virus.n.01'), Synset('detect.v.01'), None, Synset('bird.n.01')]"
93,measles,measles worldwide distribution eliminated western hemisphere vaccination measles deaths 95 occur countries per capita income us 1000,high fever conjunctivitis coryza cough maculopapular rash beginning face spreading downwards reach hands feet characteristic small white spots koplik spots buccal mucosa,airborne droplets contact nose throat secretions infected persons fomites contaminated secretions,measles virus singlestranded rna negativesense morbillivirus,median 125 days range 1–3 weeks,detection rtpcr blood swabs nasopharyngeal mucosa virus isolation swabs blood urine detection measles specific igm significant rise antibody titer,"['measles', 'worldwide', 'distribution', 'eliminated', 'western', 'hemisphere', 'vaccination', 'measles', 'deaths', '95', 'occur', 'countries', 'per', 'capita', 'income', 'us', '1000']","[('measles', 'NNS'), ('worldwide', 'VBP'), ('distribution', 'NN'), ('eliminated', 'VBD'), ('western', 'JJ'), ('hemisphere', 'JJ'), ('vaccination', 'NN'), ('measles', 'NNS'), ('deaths', 'NNS'), ('95', 'CD'), ('occur', 'JJ'), ('countries', 'NNS'), ('per', 'IN'), ('capita', 'JJ'), ('income', 'NN'), ('us', 'PRP'), ('1000', 'CD')]","[Synset('measles.n.01'), None, Synset('distribution.n.01'), Synset('extinguish.v.04'), Synset('western.a.01'), None, Synset('inoculation.n.01'), Synset('measles.n.01'), Synset('death.n.01'), None, None, Synset('state.n.04'), None, None, Synset('income.n.01'), None, None]"
94,monkeypox,mpv endemic heavily forested areas africa primarily low altitude high humidity outlier shrub country sudan anomalous ecologically might initiated infected traveler congo basin region,symptoms similar smallpox milder fever headache myalgia backache lymphadenopathy seen smallpox malaise sore throat cough shortness breath followed vesicularpustular rash face body,bite direct percutaneous contact mucosal respiratory exposure blood tissues fluids lesions infected animals,monkeypox virus mpv doublestranded dna virus genus orthopoxvirus family poxviridae,7–21 days mean 12 days,detection virus culture pcr characteristic skin lesions histopathology immunohistochemistry,"['mpv', 'endemic', 'heavily', 'forested', 'areas', 'africa', 'primarily', 'low', 'altitude', 'high', 'humidity', 'outlier', 'shrub', 'country', 'sudan', 'anomalous', 'ecologically', 'might', 'initiated', 'infected', 'traveler', 'congo', 'basin', 'region']","[('mpv', 'NN'), ('endemic', 'JJ'), ('heavily', 'RB'), ('forested', 'VBN'), ('areas', 'NNS'), ('africa', 'VBP'), ('primarily', 'RB'), ('low', 'JJ'), ('altitude', 'VBP'), ('high', 'JJ'), ('humidity', 'NN'), ('outlier', 'IN'), ('shrub', 'JJ'), ('country', 'NN'), ('sudan', 'VBD'), ('anomalous', 'JJ'), ('ecologically', 'RB'), ('might', 'MD'), ('initiated', 'VBN'), ('infected', 'JJ'), ('traveler', 'NN'), ('congo', 'NN'), ('basin', 'NN'), ('region', 'NN')]","[None, Synset('endemic.a.01'), Synset('heavily.r.01'), Synset('afforest.v.01'), Synset('area.n.01'), None, Synset('chiefly.r.01'), Synset('low.a.01'), None, Synset('high.a.01'), Synset('humidity.n.01'), None, None, Synset('state.n.04'), None, Synset('anomalous.s.01'), Synset('ecologically.r.01'), None, Synset('originate.v.02'), Synset('septic.a.01'), Synset('traveler.n.01'), Synset('congo.n.01'), Synset('basin.n.01'), Synset('region.n.01')]"
95,mumps,studies unvaccinated populations western countries indicate almost everyone infected mumps adulthood however epidemiology mumps less well characterized developing countries geographic variation circulating mumps virus genotypes several genotypes circulating simultaneously one area shifts time predominant genotypes,onethird cases subclinical illness begins prodrome fever malaise headache followed unilateral commonly bilateral tender swelling parotid parotitis salivary glands infection inflammation testicles orchitis occurs 30 adult males rare puberty orchitis results testicular atrophy 50 cases rarely causes sterility,contact infectious respiratory droplets saliva,mumps virus,median 19 days range 15–24 days,detection virus saliva cerebrospinal fluid urine seminal fluid culture rtpcr,"['studies', 'unvaccinated', 'populations', 'western', 'countries', 'indicate', 'almost', 'everyone', 'infected', 'mumps', 'adulthood', 'however', 'epidemiology', 'mumps', 'less', 'well', 'characterized', 'developing', 'countries', 'geographic', 'variation', 'circulating', 'mumps', 'virus', 'genotypes', 'several', 'genotypes', 'circulating', 'simultaneously', 'one', 'area', 'shifts', 'time', 'predominant', 'genotypes']","[('studies', 'NNS'), ('unvaccinated', 'VBD'), ('populations', 'NNS'), ('western', 'JJ'), ('countries', 'NNS'), ('indicate', 'VBP'), ('almost', 'RB'), ('everyone', 'NN'), ('infected', 'JJ'), ('mumps', 'NNS'), ('adulthood', 'VBD'), ('however', 'RB'), ('epidemiology', 'JJ'), ('mumps', 'NNS'), ('less', 'RBR'), ('well', 'RB'), ('characterized', 'JJ'), ('developing', 'VBG'), ('countries', 'NNS'), ('geographic', 'JJ'), ('variation', 'NN'), ('circulating', 'VBG'), ('mumps', 'NNS'), ('virus', 'RB'), ('genotypes', 'VBZ'), ('several', 'JJ'), ('genotypes', 'NNS'), ('circulating', 'VBG'), ('simultaneously', 'RB'), ('one', 'CD'), ('area', 'NN'), ('shifts', 'NNS'), ('time', 'NN'), ('predominant', 'JJ'), ('genotypes', 'NNS')]","[Synset('survey.n.01'), None, Synset('population.n.01'), Synset('western.a.01'), Synset('state.n.04'), Synset('bespeak.v.01'), Synset('about.r.07'), None, Synset('septic.a.01'), Synset('mumps.n.01'), None, Synset('however.r.01'), None, Synset('mumps.n.01'), Synset('less.r.01'), Synset('well.r.01'), None, Synset('develop.v.01'), Synset('state.n.04'), Synset('geographic.a.01'), Synset('variation.n.01'), Synset('go_around.v.02'), Synset('mumps.n.01'), None, None, Synset('several.s.01'), Synset('genotype.n.01'), Synset('go_around.v.02'), Synset('simultaneously.r.01'), None, Synset('area.n.01'), Synset('shift.n.01'), Synset('time.n.01'), Synset('prevailing.s.01'), Synset('genotype.n.01')]"
96,o’nyongnyong virus disease,onnv mutant chikv appeared 1959 uganda spread anopheline mosquitoes across malaria belt africa leading large mosquitoborne virus epidemic ended without trace 1962 reappearing sporadic cases africa rare intervals nigeria 1966 1969 cases described new virus igboora later recognized onnv small outbreak côte d’ivoire 1984–1985 2003 also,denguelike acute febrile illness sudden onset fever severe chills severe headache eye pain symmetrical polyarthralgia joints generalized myalgia sometimes dry cough coryza leucopenia often itching descending morbilliform rash,mosquito bite,o’nyongnyong virus onnv,estimated least 8 days,rtpcr whole blood serum virus isolation plaque reduction neutralization test crossreactivity related viruses including chikv,"['onnv', 'mutant', 'chikv', 'appeared', '1959', 'uganda', 'spread', 'anopheline', 'mosquitoes', 'across', 'malaria', 'belt', 'africa', 'leading', 'large', 'mosquitoborne', 'virus', 'epidemic', 'ended', 'without', 'trace', '1962', 'reappearing', 'sporadic', 'cases', 'africa', 'rare', 'intervals', 'nigeria', '1966', '1969', 'cases', 'described', 'new', 'virus', 'igboora', 'later', 'recognized', 'onnv', 'small', 'outbreak', 'côte', 'd', '’', 'ivoire', '1984–1985', '2003', 'also']","[('onnv', 'NN'), ('mutant', 'JJ'), ('chikv', 'NN'), ('appeared', 'VBD'), ('1959', 'CD'), ('uganda', 'JJ'), ('spread', 'NN'), ('anopheline', 'NN'), ('mosquitoes', 'NNS'), ('across', 'IN'), ('malaria', 'NNS'), ('belt', 'NN'), ('africa', 'IN'), ('leading', 'VBG'), ('large', 'JJ'), ('mosquitoborne', 'JJ'), ('virus', 'NN'), ('epidemic', 'NN'), ('ended', 'VBD'), ('without', 'IN'), ('trace', 'NN'), ('1962', 'CD'), ('reappearing', 'VBG'), ('sporadic', 'JJ'), ('cases', 'NNS'), ('africa', 'VBP'), ('rare', 'JJ'), ('intervals', 'NNS'), ('nigeria', 'RB'), ('1966', 'CD'), ('1969', 'CD'), ('cases', 'NNS'), ('described', 'VBD'), ('new', 'JJ'), ('virus', 'NN'), ('igboora', 'NN'), ('later', 'RB'), ('recognized', 'VBN'), ('onnv', 'RB'), ('small', 'JJ'), ('outbreak', 'JJ'), ('côte', 'NN'), ('d', 'NN'), ('’', 'NNP'), ('ivoire', 'NN'), ('1984–1985', 'CD'), ('2003', 'CD'), ('also', 'RB')]","[None, Synset('mutant.a.01'), None, Synset('look.v.02'), None, None, Synset('spread.n.01'), Synset('anopheline.n.01'), Synset('mosquito.n.01'), None, Synset('malaria.n.01'), Synset('belt.n.01'), None, Synset('lead.v.01'), Synset('large.a.01'), None, Synset('virus.n.01'), Synset('epidemic.n.01'), Synset('end.v.01'), None, Synset('trace.n.01'), None, Synset('reappear.v.01'), Synset('sporadic.a.01'), Synset('case.n.01'), None, Synset('rare.s.01'), Synset('time_interval.n.01'), None, None, None, Synset('case.n.01'), Synset('describe.v.01'), Synset('new.a.01'), Synset('virus.n.01'), None, Synset('subsequently.r.01'), Synset('acknowledge.v.06'), None, Synset('small.a.01'), None, None, Synset('vitamin_d.n.01'), None, None, None, None, Synset('besides.r.02')]"
97,oropouche virus disease,orov first isolated trinidiad 1955 south america cases limited trinidad panama amazon basin approximately 500000 cases occurred brazil since 1960s,sudden onset fever may diphasic headache myalgia arthralgia anorexia dizziness chills photophobia also nausea vomiting diarrhea epigastric eye pain conjunctivitis meningitis,insect bite,oropouche virus orov spherical enveloped singlestranded negativesense rna virus,2–14 days,serology igm elisa ifa detection orov rna blood rtpcr,"['orov', 'first', 'isolated', 'trinidiad', '1955', 'south', 'america', 'cases', 'limited', 'trinidad', 'panama', 'amazon', 'basin', 'approximately', '500000', 'cases', 'occurred', 'brazil', 'since', '1960s']","[('orov', 'NN'), ('first', 'RB'), ('isolated', 'VBD'), ('trinidiad', 'JJ'), ('1955', 'CD'), ('south', 'NN'), ('america', 'JJ'), ('cases', 'NNS'), ('limited', 'VBD'), ('trinidad', 'JJ'), ('panama', 'NN'), ('amazon', 'NN'), ('basin', 'NN'), ('approximately', 'RB'), ('500000', 'CD'), ('cases', 'NNS'), ('occurred', 'VBD'), ('brazil', 'JJ'), ('since', 'IN'), ('1960s', 'CD')]","[None, Synset('first.r.01'), Synset('isolate.v.01'), None, None, Synset('south.n.01'), None, Synset('case.n.01'), Synset('restrict.v.03'), None, Synset('panama.n.01'), Synset('amazon.n.01'), Synset('basin.n.01'), Synset('approximately.r.01'), None, Synset('case.n.01'), Synset('happen.v.01'), None, None, None]"
98,poliomyelitis,since global polio eradication initiative cases decreased significantly 1292 reported cases 2010 232 endemic countries afghanistan india nigeria pakistan,symptoms may include fever malaise headache neck stiffness pain limbs nausea vomiting aseptic meningitis occurs around 1 infections,orofecal virus appears throat 36 hours infection week feces 72 hours 3–6 weeks,poliovirus rna enterovirus,3–35 days 6–20 paralytic cases,virus isolation stool csf oropharyngeal secretion followed typing determine virus ‘wild type’ vaccine strain,"['since', 'global', 'polio', 'eradication', 'initiative', 'cases', 'decreased', 'significantly', '1292', 'reported', 'cases', '2010', '232', 'endemic', 'countries', 'afghanistan', 'india', 'nigeria', 'pakistan']","[('since', 'IN'), ('global', 'JJ'), ('polio', 'NN'), ('eradication', 'NN'), ('initiative', 'NN'), ('cases', 'NNS'), ('decreased', 'VBD'), ('significantly', 'RB'), ('1292', 'CD'), ('reported', 'VBD'), ('cases', 'NNS'), ('2010', 'CD'), ('232', 'CD'), ('endemic', 'JJ'), ('countries', 'NNS'), ('afghanistan', 'VBP'), ('india', 'JJ'), ('nigeria', 'NNS'), ('pakistan', 'VBP')]","[None, Synset('global.s.01'), Synset('poliomyelitis.n.01'), Synset('eradication.n.01'), Synset('enterprise.n.03'), Synset('case.n.01'), Synset('decrease.v.01'), Synset('significantly.r.01'), None, Synset('report.v.01'), Synset('case.n.01'), None, None, Synset('endemic.a.01'), Synset('state.n.04'), None, None, Synset('nigeria.n.01'), None]"
99,rabies,rabies occurs 150 countries territories world wide 55000 people die rabies every year 40 people bitten suspect rabid animals children 15 years age usa declared free canine rabies transmission 2007,classic encephalitic rabies paralytic dumb rabies forms progressive generally lead death,animal bite saliva commonly scratch rarely infected livestock bite typically may infect person saliva,rabies virus rhabdovirus genus lyssavirus,usually 1–3 months rarely 1 week 1 year depending virus variant dose wound severity distance wound brain,fa staining frozen skin sections taken nape neck postmortem brain tissue rtpcr saliva skin brain biopsy buccal swab serology,"['rabies', 'occurs', '150', 'countries', 'territories', 'world', 'wide', '55000', 'people', 'die', 'rabies', 'every', 'year', '40', 'people', 'bitten', 'suspect', 'rabid', 'animals', 'children', '15', 'years', 'age', 'usa', 'declared', 'free', 'canine', 'rabies', 'transmission', '2007']","[('rabies', 'NNS'), ('occurs', 'VBZ'), ('150', 'CD'), ('countries', 'NNS'), ('territories', 'NNS'), ('world', 'NN'), ('wide', 'JJ'), ('55000', 'CD'), ('people', 'NNS'), ('die', 'JJ'), ('rabies', 'NNS'), ('every', 'DT'), ('year', 'NN'), ('40', 'CD'), ('people', 'NNS'), ('bitten', 'VBP'), ('suspect', 'JJ'), ('rabid', 'NN'), ('animals', 'NNS'), ('children', 'NNS'), ('15', 'CD'), ('years', 'NNS'), ('age', 'NN'), ('usa', 'RB'), ('declared', 'VBD'), ('free', 'JJ'), ('canine', 'NN'), ('rabies', 'NNS'), ('transmission', 'NN'), ('2007', 'CD')]","[Synset('rabies.n.01'), Synset('happen.v.01'), None, Synset('state.n.04'), Synset('district.n.01'), Synset('universe.n.01'), Synset('wide.a.01'), None, Synset('people.n.01'), None, Synset('rabies.n.01'), None, Synset('year.n.01'), None, Synset('people.n.01'), Synset('bite.v.01'), Synset('fishy.s.02'), None, Synset('animal.n.01'), Synset('child.n.01'), None, Synset('old_age.n.01'), Synset('age.n.01'), None, Synset('declare.v.01'), Synset('free.a.01'), Synset('canine.n.01'), Synset('rabies.n.01'), Synset('transmission.n.01'), None]"
